n,input_graph6,output_graph6,case,move,N_old,R_old,N_new,R_new,cross_score,mean_gain
17,PhCP?C__??_@?@?A?A??@??G,PhCP@?__??_@?@?A?A??@??G,leaf_degree_two,pendant_path_fold,1274,12496,1653,16442,291220,145610/1052961
17,PhCP?C__??_@?@?A?A??@?C?,PhCP@?__??_@?@?A?A??@?C?,leaf_degree_two,pendant_path_fold,1503,14750,1952,19413,385739,385739/2933856
17,PhCP?C__??_@?@?A?A??@_??,PhCP@?__??_@?@?A?A??@_??,leaf_degree_two,pendant_path_fold,1514,14860,1973,19594,346536,173268/1493561
17,PhCP?C__??_@?@?A?A??_?C?,PhCP@?__??_@?@?A?A??_?C?,leaf_degree_two,pendant_path_fold,1964,19497,2553,25664,628255,628255/5014092
17,PhCP?C__??_@?@?A?A??__??,PhCP@?__??_@?@?A?A??__??,leaf_degree_two,pendant_path_fold,1968,19571,2567,25809,553355,553355/5051856
17,PhCP?C__??_@?@?A?AC????C,PhCP@?__??_@?@?A?AC????C,leaf_degree_two,pendant_path_fold,1539,15074,2008,19889,340579,340579/3090312
17,PhCP?C__??_@?@?A?AC??_??,PhCP@?__??_@?@?A?AC??_??,leaf_degree_two,pendant_path_fold,2018,19974,2637,26364,531114,88519/886911
17,PhCP?C__??_@?@?AO???@??C,PhCP@?__??_@?@?AO???@??C,leaf_degree_two,pendant_path_fold,1118,10648,1457,14050,193764,96882/814463
17,PhCP?C__??_@?@?AO???@??G,PhCP@?__??_@?@?AO???@??G,leaf_degree_two,pendant_path_fold,1374,13352,1793,17622,272492,12386/111981
17,PhCP?C__??_@?@?AO???@_??,PhCP@?__??_@?@?AO???@_??,leaf_degree_two,pendant_path_fold,1628,15795,2127,20853,352719,117573/1154252
17,PhCP?C__??_@?@?AO?C??_??,PhCP@?__??_@?@?AO?C??_??,leaf_degree_two,pendant_path_fold,2139,20945,2798,27659,558491,558491/5984922
17,PhCP?C__??_@?@?C??G?@?C?,PhCP@?__??_@?@?C??G?@?C?,leaf_degree_two,pendant_path_fold,1172,11203,1521,14746,242549,242549/1782612
17,PhCP?C__??_@?@?C??G?@_??,PhCP@?__??_@?@?C??G?@_??,leaf_degree_two,pendant_path_fold,1188,11341,1547,14955,222013,20183/167076
17,PhCP?C__??_@?@?C??G?A??O,PhCP@?__??_@?@?C??G?A??O,leaf_degree_two,pendant_path_fold,1308,12817,1697,16864,307663,307663/2219676
17,PhCP?C__??_@?@?C??G?A?C?,PhCP@?__??_@?@?C??G?A?C?,leaf_degree_two,pendant_path_fold,1436,14011,1865,18442,352197,352197/2678140
17,PhCP?C__??_@?@?C??G?A_??,PhCP@?__??_@?@?C??G?A_??,leaf_degree_two,pendant_path_fold,1448,14127,1887,18629,317143,317143/2732376
17,PhCP?C__??_@?@?C??G?_??C,PhCP@?__??_@?@?C??G?_??C,leaf_degree_two,pendant_path_fold,1303,12538,1692,16505,291719,291719/2204676
17,PhCP?C__??_@?@?C??G?_?C?,PhCP@?__??_@?@?C??G?_?C?,leaf_degree_two,pendant_path_fold,1698,16550,2207,21789,471872,235936/1873743
17,PhCP?C__??_@?@?C??G?__??,PhCP@?__??_@?@?C??G?__??,leaf_degree_two,pendant_path_fold,1706,16648,2225,21958,418548,209274/1897925
